top - 23:41:26 up  2:23,  1 user,  load average: 0.30, 0.25, 0.36
Tasks: 269 total,   1 running, 268 sleeping,   0 stopped,   0 zombie
%Cpu0  :  0.0 us, 11.8 sy,  0.0 ni, 88.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    797.0 total,     52.8 free,    497.6 used,    246.7 buff/cache
MiB Swap:   2048.0 total,   1239.0 free,    809.0 used.    161.5 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  1080 root      20   0   17036   1272   1056 S   0.0   0.2   0:00.13 ksmtuned
  1081 root      20   0  200940      0      0 S   0.0   0.0   0:00.14 sssd_be
  1087 root      20   0  153804    552    460 S   0.0   0.1   0:00.07 abrt-dump-journ
  1088 root      20   0  153792    736    532 S   0.0   0.1   0:00.06 abrt-dump-journ
  1114 root      20   0  212468   1368    944 S   0.0   0.2   0:03.75 sssd_nss
  1132 root      20   0  290200      4      0 S   0.0   0.0   0:00.90 firewalld
  1148 root      20   0  340680      0      0 S   0.0   0.0   0:00.09 accounts-daemon
  1149 root      20   0   95440    316    236 S   0.0   0.0   0:00.35 systemd-logind
  1200 root      20   0  421960   1516    508 S   0.0   0.2   0:00.45 NetworkManager
  1218 root      20   0  424352    400      0 S   0.0   0.0   0:01.23 tuned
  1386 root      20   0  101732      0      0 S   0.0   0.0   0:00.00 gssproxy
  1408 root      20   0 1172288      0      0 S   0.0   0.0   0:00.35 libvirtd
  1420 root      20   0  339348      0      0 S   0.0   0.0   0:00.04 gdm
  1422 root      20   0   36092    256    244 S   0.0   0.0   0:00.23 crond
  1429 root      20   0   42624      0      0 S   0.0   0.0   0:00.00 atd
  1561 root      20   0   92304      0      0 S   0.0   0.0   0:00.00 sshd
  1879 root      20   0  326484     68     68 S   0.0   0.0   0:00.01 gdm-session-wor
  1911 gdm       20   0   93356    324    292 S   0.0   0.0   0:00.12 systemd
  1925 root      20   0  214168   1484   1096 S   0.0   0.2   0:00.61 rsyslogd
  1952 gdm       20   0  170492      4      0 S   0.0   0.0   0:00.00 (sd-pam)
  1993 dnsmasq   20   0   71252      4      0 S   0.0   0.0   0:00.00 dnsmasq
  1998 root      20   0   71224      4      0 S   0.0   0.0   0:00.00 dnsmasq
  2000 gdm       20   0  877300   1080    896 S   0.0   0.1   0:00.39 pulseaudio
  2001 gdm       20   0  339464     72     72 S   0.0   0.0   0:00.02 gdm-wayland-ses
  2037 gdm       20   0   81884      0      0 S   0.0   0.0   0:00.10 dbus-daemon
  2060 gdm       20   0  739112     24     24 S   0.0   0.0   0:00.11 gnome-session-b
  2129 gdm       20   0 2611704  30908   9284 S   0.0   3.8   0:12.89 gnome-shell
  2445 gdm       20   0  239096    108     28 S   0.0   0.0   0:00.09 Xwayland
  2464 gdm       20   0  390312     28     28 S   0.0   0.0   0:00.01 at-spi-bus-laun
  2474 gdm       20   0   81460     44     44 S   0.0   0.0   0:00.01 dbus-daemon
  2480 gdm       20   0  247796      0      0 S   0.0   0.0   0:00.00 at-spi2-registr
  2708 gdm       20   0  401004      0      0 S   0.0   0.0   0:00.03 ibus-daemon
  2721 gdm       20   0  316352      0      0 S   0.0   0.0   0:00.00 ibus-dconf
  2726 gdm       20   0  506456      0      0 S   0.0   0.0   0:00.15 ibus-x11
  2733 gdm       20   0  316336      0      0 S   0.0   0.0   0:00.01 ibus-portal
  2747 gdm       20   0  291376      0      0 S   0.0   0.0   0:00.00 xdg-permission-
  2957 root      20   0  320340    152    152 S   0.0   0.0   0:00.06 upowerd
  3009 root      20   0   59912     32      0 S   0.0   0.0   0:00.04 wpa_supplicant
  3033 gdm       20   0  533512      0      0 S   0.0   0.0   0:00.11 gsd-xsettings
  3036 gdm       20   0  316112      0      0 S   0.0   0.0   0:00.01 gsd-a11y-settin
  3041 gdm       20   0  384776      0      0 S   0.0   0.0   0:00.07 gsd-clipboard
  3046 gdm       20   0  695912   1804   1336 S   0.0   0.2   0:00.25 gsd-color
  3047 gdm       20   0  383088      0      0 S   0.0   0.0   0:00.02 gsd-datetime
  3052 gdm       20   0  305716      0      0 S   0.0   0.0   0:00.00 gsd-housekeepin
  3054 gdm       20   0  532420      0      0 S   0.0   0.0   0:00.09 gsd-keyboard
  3063 gdm       20   0 1128880      0      0 S   0.0   0.0   0:00.12 gsd-media-keys
  3068 gdm       20   0  225412      0      0 S   0.0   0.0   0:00.00 gsd-mouse
  3073 gdm       20   0  629884    224    224 S   0.0   0.0   0:00.13 gsd-power
  3084 gdm       20   0  276732      0      0 S   0.0   0.0   0:00.01 gsd-print-notif
  3088 gdm       20   0  229728      0      0 S   0.0   0.0   0:00.00 gsd-rfkill
  3097 gdm       20   0  299148      0      0 S   0.0   0.0   0:00.00 gsd-screensaver
  3102 gdm       20   0  321732      0      0 S   0.0   0.0   0:00.01 gsd-sharing
  3107 gdm       20   0  501912      0      0 S   0.0   0.0   0:00.44 gsd-smartcard
  3113 gdm       20   0  374340      0      0 S   0.0   0.0   0:00.01 gsd-sound
  3120 gdm       20   0  516716      0      0 S   0.0   0.0   0:00.14 gsd-wacom
  3144 gdm       20   0  214720     56     56 S   0.0   0.0   0:00.00 dconf-service
  3148 colord    20   0  362924     20     20 S   0.0   0.0   0:00.08 colord
  3163 gdm       20   0  242536      0      0 S   0.0   0.0   0:00.01 ibus-engine-sim
  3166 root      20   0  471200    328    320 S   0.0   0.0   0:00.02 pcscd
  7027 pcp       20   0  123244   1008    808 S   0.0   0.1   0:00.12 pmie
 13960 pcp       20   0  205800   1464    856 S   0.0   0.2   0:01.25 pmcd
 14076 root      20   0  100472     20      0 S   0.0   0.0   0:00.01 pmdaroot
 14077 root      20   0  122732   1976    440 S   0.0   0.2   0:09.63 pmdaproc
 14078 root      20   0   95916    272    108 S   0.0   0.0   0:00.78 pmdaxfs
 14079 root      20   0  107132    528      0 S   0.0   0.1   0:02.51 pmdalinux
 14080 root      20   0   95920    480    380 S   0.0   0.1   0:00.05 pmdakvm
 14081 root      20   0  103300      0      0 S   0.0   0.0   0:00.01 pmdadm
 16046 root      20   0  169696     44      0 S   0.0   0.0   0:00.07 python3
 54593 pcp       20   0  128452   4620    672 S   0.0   0.6   0:01.52 pmlogger
 68409 root      20   0  376008     80     80 S   0.0   0.0   0:00.08 gdm-session-wor
 68418 mardan    20   0   93356    172      0 S   0.0   0.0   0:00.16 systemd
 68428 mardan    20   0  317956      4      0 S   0.0   0.0   0:00.00 (sd-pam)
 68438 mardan     9 -11 1183128   6832   5040 S   0.0   0.8   0:03.68 pulseaudio
 68444 mardan    20   0  306988   2028   1644 S   0.0   0.2   0:00.07 gnome-keyring-d
 68451 mardan    20   0   82392   1440    320 S   0.0   0.2   0:00.55 dbus-daemon
 68454 mardan    20   0  339464     76     76 S   0.0   0.0   0:00.02 gdm-wayland-ses
 68463 mardan    20   0  594040    708      0 S   0.0   0.1   0:00.17 gnome-session-b
 68499 mardan    20   0  312792      0      0 S   0.0   0.0   0:00.14 gvfsd
 68504 mardan    20   0  460924      0      0 S   0.0   0.0   0:00.01 gvfsd-fuse
 68535 mardan    20   0 2948268  91260  28052 S   0.0  11.2   1:22.56 gnome-shell
 68566 mardan    20   0  242392   1628     28 S   0.0   0.2   0:00.84 Xwayland
 68570 mardan    20   0  392536      0      0 S   0.0   0.0   0:00.01 at-spi-bus-laun
 68575 mardan    20   0   81592      0      0 S   0.0   0.0   0:00.04 dbus-daemon
 68578 mardan    20   0  247796    252      0 S   0.0   0.0   0:00.04 at-spi2-registr
 68583 mardan    20   0  403176   1028      0 S   0.0   0.1   0:04.29 ibus-daemon
 68584 mardan    20   0  291376      0      0 S   0.0   0.0   0:00.00 xdg-permission-
 68591 mardan    20   0  318508      8      8 S   0.0   0.0   0:00.01 ibus-dconf
 68592 mardan    20   0  446144   1948    956 S   0.0   0.2   0:01.12 ibus-extension-
 68596 mardan    20   0  508652      0      0 S   0.0   0.0   0:00.17 ibus-x11
 68599 mardan    20   0  318508    400    140 S   0.0   0.0   0:00.08 ibus-portal
 68608 mardan    20   0  703832      0      0 S   0.0   0.0   0:00.07 gnome-shell-cal
 68627 mardan    20   0  437528      0      0 S   0.0   0.0   0:00.04 gvfs-udisks2-vo
 68632 mardan    20   0  300048      0      0 S   0.0   0.0   0:00.02 gvfs-mtp-volume
 68636 mardan    20   0  312744      0      0 S   0.0   0.0   0:00.01 gvfs-gphoto2-vo
